"","gene","colon","heart","jejunum","kidney","liver","lung","cluster","membership"
"129","B930092H01Rik",-0.432213216272778,-0.414742151681947,-0.328190496071691,2.03957229657197,-0.432213216272778,-0.432213216272778,1,0.977583863663479
"130","Babam2",-0.98714105558401,-0.418737554276787,-0.298589619706478,1.8092291159402,-0.543429432799378,0.438668546426451,1,0.807844986699805
"131","Bag1",0.698901686238819,0.296814154345627,-0.823444386801901,1.51976455021388,-0.891843350333953,-0.80019265366247,1,0.562497735377644
"132","Baiap2",-0.0439444378359512,-0.878352587044707,-1.09450051028731,1.13557334870066,-0.38122407915998,1.26244826562729,1,0.347395816554268
"133","Bbln",-0.501414196638714,-0.243991738622661,-0.770128498126252,1.91987116134313,0.202988741552267,-0.607325469507775,1,0.898861573563529
"134","BC005624",0.0635903472488524,-0.732651747221608,-0.775758472440364,1.71119771540111,-0.801657424362843,0.535279581374852,1,0.743764840923307
"135","BC031181",0.558426128469811,-1.52211810674952,0.286579471107721,1.41801633590866,-0.326014518714785,-0.414889310021883,1,0.457078685945989
"136","Bcat1",-0.421718250237328,-0.367345634414704,-0.403976719011419,2.04075855825749,-0.42549519522755,-0.422222759366494,1,0.981164103931595
"137","Bdh2",-0.449663394687826,-0.44690306099753,-0.449691348207357,2.03476844972972,-0.24794312699984,-0.440567518837172,1,0.978457259861698
"138","Bend5",-0.475618923779053,-0.0178393660522004,-0.398223826282634,1.99027590366499,-0.707780099211517,-0.390813688339582,1,0.945832924995629
"139","Bicd1",1.02007050572747,-0.422889238509237,-0.747624692554581,1.26669405878712,-1.2631631162349,0.146912482784122,1,0.380372389081556
"140","Bltp3b",0.142214822580611,-1.17030013211963,-0.750920394134113,1.64568188610131,-0.339007054942328,0.472330872514153,1,0.693833225173778
"141","Bola1",0.120505912004906,-0.0527956152119303,-0.981585489219985,1.67079835336903,0.307522166469513,-1.06444532741154,1,0.691899723506476
"142","Bop1",0.0602738931045377,-0.785417417339455,0.571133874849989,1.14887408142119,0.560514701677145,-1.55537913371341,1,0.344649315160482
"143","Bscl2",0.277712520291014,-1.21344831348191,-0.808348753909788,1.57405916816769,0.475444923663787,-0.305419544730795,1,0.622693713237287
"144","Bsdc1",0.123195785580998,-0.457972368240794,-0.546563218840947,1.92941897408017,-0.204305163201377,-0.84377400937805,1,0.896489707133823
"145","Btd",-1.01821046682035,-0.736484922619869,-0.130140540472828,1.45027869557537,0.993864914350009,-0.55930768001233,1,0.462592878880755
"146","Bud31",0.258952973810305,-1.18544702293185,0.0853466727168792,1.73190095152097,-0.19620537370567,-0.694548201410629,1,0.695591927448502
"147","C130074G19Rik",-0.719746609644,-0.794246345509372,-0.317507307646334,1.85534446616466,0.380340125021342,-0.404184328386295,1,0.82447122558308
"148","C1qtnf3",-0.173594940847643,-0.468668040707777,-0.45425174037852,2.02741474496472,-0.474735644358672,-0.45616437867211,1,0.975816168929258
"149","Cacul1",-0.0449050507924387,-1.75134049935896,0.0323957233799197,1.3075049524829,0.46905206051776,-0.0127071862291906,1,0.437883832312722
"150","Canx",-0.515403915670006,-1.37168975662204,0.739020241402301,1.4567810105539,0.107193529506515,-0.415901109170667,1,0.487043152782914
"151","Car5b",-0.474670482781249,-0.454958304705363,-0.515183243502595,2.02661614424219,-0.404625603369988,-0.177178509882998,1,0.982028618317103
"152","Ccdc124",1.18424159130249,0.177253610898267,-0.561818439198313,1.00891631888321,-0.357900875788672,-1.45069220609698,1,0.315642831020982
"153","Ccdc144b",-0.729487651893603,0.197153354012593,-0.689899383279475,1.84656637067526,-0.729487651893603,0.105154962378826,1,0.845189816649411
"154","Ccdc160",-0.530169846122205,-0.471501010770911,-0.694476409810506,1.90607016684821,-0.528737307318882,0.318814407174296,1,0.912601086703867
"155","Ccdc198",-0.424746217395569,-0.443043406640449,-0.282099127702499,2.0371702324408,-0.44728105960716,-0.440000421095118,1,0.97433282113825
"156","Ccdc6",0.135941428127231,-0.786557597735618,0.253272415261,1.78050804621059,-0.98477109990805,-0.39839319195515,1,0.72508461688294
